Feature1,Feature2,Correlation,AbsCorrelation,Range
Chi1n,MW,0.9252659738420415,0.9252659738420415,0.9 - 1.0
MW,Chi1n,0.9252659738420415,0.9252659738420415,0.9 - 1.0
Chi2v,Chi2n,0.9251235314326832,0.9251235314326832,0.9 - 1.0
Chi2n,Chi2v,0.9251235314326832,0.9251235314326832,0.9 - 1.0
Chi2n,Chi0v,0.924133489596468,0.924133489596468,0.9 - 1.0
Chi0v,Chi2n,0.924133489596468,0.924133489596468,0.9 - 1.0
Chi2n,Chi1v,0.9230993390728623,0.9230993390728623,0.9 - 1.0
Chi1v,Chi2n,0.9230993390728623,0.9230993390728623,0.9 - 1.0
Chi2n,Chi4n,0.9222709214234799,0.9222709214234799,0.9 - 1.0
Chi4n,Chi2n,0.9222709214234799,0.9222709214234799,0.9 - 1.0
Chi2n,NumValenceElectrons,0.9169546449236328,0.9169546449236328,0.9 - 1.0
NumValenceElectrons,Chi2n,0.9169546449236328,0.9169546449236328,0.9 - 1.0
Chi1n,Chi3n,0.9161401201883721,0.9161401201883721,0.9 - 1.0
Chi3n,Chi1n,0.9161401201883721,0.9161401201883721,0.9 - 1.0
Chi4v,Chi2v,0.9158151305727973,0.9158151305727973,0.9 - 1.0
Chi2v,Chi4v,0.9158151305727973,0.9158151305727973,0.9 - 1.0
nHet,nHA,0.9088090222570773,0.9088090222570773,0.9 - 1.0
nHA,nHet,0.9088090222570773,0.9088090222570773,0.9 - 1.0
Chi1v,Chi3v,0.9084822708081212,0.9084822708081212,0.9 - 1.0
Chi3v,Chi1v,0.9084822708081212,0.9084822708081212,0.9 - 1.0
NumSaturatedCarbocycles,NumAliphaticCarbocycles,0.9052590523982357,0.9052590523982357,0.9 - 1.0
NumAliphaticCarbocycles,NumSaturatedCarbocycles,0.9052590523982357,0.9052590523982357,0.9 - 1.0
nRig,nRing,0.904374955676459,0.904374955676459,0.9 - 1.0
nRing,nRig,0.904374955676459,0.904374955676459,0.9 - 1.0
Chi1n,HeavyAtomMolWt,0.9036353657930778,0.9036353657930778,0.9 - 1.0
HeavyAtomMolWt,Chi1n,0.9036353657930778,0.9036353657930778,0.9 - 1.0
Chi2n,LabuteASA,0.9029052104327672,0.9029052104327672,0.9 - 1.0
LabuteASA,Chi2n,0.9029052104327672,0.9029052104327672,0.9 - 1.0
NumValenceElectrons,Kappa2,0.9019404041576353,0.9019404041576353,0.9 - 1.0
Kappa2,NumValenceElectrons,0.9019404041576353,0.9019404041576353,0.9 - 1.0
Chi1n,Chi2v,0.9013253905487434,0.9013253905487434,0.9 - 1.0
Chi2v,Chi1n,0.9013253905487434,0.9013253905487434,0.9 - 1.0
